Comments,PublishedAt,Author,Like_Counts,Reply_Comments
Who came after insta post,2024-06-10T12:22:06Z,@jailsalane5200,2,0
Heeramandy dipping step ondu irukku indha vidio la,2024-06-10T10:10:17Z,@nlmashar6425,0,0
Subscribe 4.01M views 4.01M 😍,2024-06-10T09:53:25Z,@rameshgaming3599,0,0
Edho Ilayaraja song ah mathi potrukan. Endha paatu nu therilaye 😅,2024-06-09T16:22:48Z,@ganeshbabu510,0,0
"பாடல்  superb!
Iyrics அருமை! 
தமிழிலும் அழகான மொழிபெயர்ப்பு!",2024-06-09T12:39:46Z,@Nimmi-rq8zk,1,0
Anyone coming to see this song  after seeing reels,2024-06-09T09:36:38Z,@user-bo9mc2ot6e,1,0
Rashmika fans assemble here 👇,2024-06-09T09:35:31Z,@user-bo9mc2ot6e,1,0
aww😮❤,2024-06-09T08:11:20Z,@MhdIzzath,1,0
Iam looking for only shreya Ghoshal ❤,2024-06-09T06:44:45Z,@Silverqueenedits,1,0
Our Version Is Always Best ❤❤,2024-06-09T03:04:34Z,@RubenV.Rd_,0,0
"आवाजाची राणी श्रेया घोषाल

मराठीमध्ये हे गाणे यायला पाहिजे 
FROM-  Maharashtra",2024-06-09T02:54:07Z,@AllInOne-ii9ro,1,0
Rashmika mandanna fan's assemble here❤❤❤,2024-06-08T06:22:09Z,@Manikandan_17475,2,0
1.00 bgm ❤❤❤,2024-06-08T04:26:21Z,@aprakesh6628,0,0
Rashmika fans assemble here❤,2024-06-08T03:44:25Z,@freefireeditzlove...2099,0,0
Rashmika mandanna fans Assemble here,2024-06-07T16:28:39Z,@Dhanish-rm4js,0,0
Enna dhan irunthalum 1st part Sami song mathiri illa pa...etho North Indian song mathiri irukku...folk vibe illa,2024-06-07T16:27:43Z,@revathyganapathy2121,2,0
😅,2024-06-07T16:22:33Z,@perfectshot113,0,0
Vera level music and voice,2024-06-07T16:12:41Z,@bathribathri-gl8go,2,0
My favourite singer shreya ghosal ❤,2024-06-07T11:01:52Z,@nixsonsharmi3537,2,0
Allu Arjun ❤,2024-06-07T11:00:13Z,@nixsonsharmi3537,0,0
❤❤❤❤❤,2024-06-07T08:56:37Z,@muthupavilashmi7875,1,0
I love Rashmika❤️❤️❤️❤️❤️,2024-06-07T06:51:40Z,@NaveenNaveen-ry7jn,1,0
❤ good ❤❤❤❤❤❤,2024-06-07T06:33:23Z,@AravindAvantika,1,0
Epperpatta varigal,2024-06-06T17:39:44Z,@aruna6464,0,0
New version of pushparaj 🥰.... Waiting for this song in movie with scenes ❤❤❤,2024-06-06T17:09:54Z,@harshithachithra4030,0,0
👌👌👌,2024-06-06T15:08:53Z,@r.m.kannan5773,0,0
Telegu vesion Best,2024-06-06T10:48:07Z,@Anuragkashyab,1,0
Lyrics ah yaen da yappdi kola panni vechirukeenga😂😂,2024-06-06T06:33:23Z,@sridharan2578,0,0
Shreya Supremacy❤,2024-06-06T05:58:36Z,@JabasteenJaba,3,0
ennada lyrics idhu 😭🤣,2024-06-06T05:20:05Z,@pandascribbless,0,0
"Rashmika fans attendence
❤",2024-06-06T04:07:24Z,@lalithaprasad937,0,0
Brilliant Viveka sir ... super 😊,2024-06-06T02:23:50Z,@kavingarjk,2,0
Rashmika does cringe wherever she is. 😂🎉❤,2024-06-05T18:32:30Z,@Bharath.M-wg9ec,0,0
"https://youtu.be/S3hSkBEHANk?si=zgsAykhNhwEgTaNH 

My new video about how to hack a game",2024-06-05T16:59:15Z,@AndersonFerdi,1,0
Rasmika fan assemble❤,2024-06-05T14:56:48Z,@Thangam-zc1vg,1,0
❤❤❤love from howrah kolkata,2024-06-05T13:30:25Z,@animeshChatterjeevlogs,1,0
lyrics🤮🤮🤮🤮🤮🤮🤮🤮,2024-06-05T13:15:57Z,@temp2-lz8px,0,0
Shreya ghosal voice😮 just hit this song😊😅🎉,2024-06-05T12:56:17Z,@bazeer9360177539,3,0
Worst song pushpa,2024-06-05T12:37:58Z,@theenatheena3514,0,0
"Understand:0%
Vibes:100%
Sami❤️❤️",2024-06-05T09:09:24Z,@Karmaguru1,2,0
kalakkal DSP ji,2024-06-05T08:13:56Z,@pandikingsongdiary3587,0,0
Yenna  lyrics  bro ithu,2024-06-05T07:26:49Z,@harisen13,0,0
😮😮😮❤❤❤wow very nice song 👌,2024-06-05T07:07:26Z,@d.mahesh9282,2,0
😅😅😅,2024-06-05T06:39:54Z,@Anjali.M1435,1,0
"Reminds me of Sotta sotta nanaiyuthu Taj Mahal... the beginning ... and then it takes a different turn, but there's definitely an inspiration, and there is nothing wrong with it",2024-06-05T00:15:04Z,@SeanM88,0,0
"Yengayo ketta madhiriye erukke, romba palagana tune.. aiyayo idhu Taja mahal Neeye enge song tune pa..😂",2024-06-04T16:43:17Z,@adcabi777,1,0
❤❤❤❤,2024-06-04T16:00:49Z,@DineshKuppusamy-eo9lx,1,0
Allu arjun fans tamil nadu there ❤,2024-06-04T14:13:35Z,@Mogegu,0,0
Tamil version is trending than thw original one,2024-06-04T13:19:32Z,@parkavielangovan3325,3,0
👌👌👌👌👌👌👌❤️,2024-06-04T12:01:48Z,@vijayvictor2524,0,0
Madaki thattu ku idhu evlavo paravaillai.nallavum irruku 😂😂,2024-06-04T11:48:09Z,@cyberboy_sai6634,1,0
Mokka ya irukku🤭,2024-06-04T09:29:07Z,@lifeofdreams1300,1,0
Lyrics in tamil please,2024-06-04T08:27:13Z,@JarapulaPadma,0,0
